"trainer/global_step","fresh-sun-3 - _step","fresh-sun-3 - _step__MIN","fresh-sun-3 - _step__MAX","fresh-sun-3 - train/rel_error","fresh-sun-3 - train/rel_error__MIN","fresh-sun-3 - train/rel_error__MAX","royal-fire-2 - _step","royal-fire-2 - _step__MIN","royal-fire-2 - _step__MAX","royal-fire-2 - train/rel_error","royal-fire-2 - train/rel_error__MIN","royal-fire-2 - train/rel_error__MAX","floral-breeze-1 - _step","floral-breeze-1 - _step__MIN","floral-breeze-1 - _step__MAX","floral-breeze-1 - train/rel_error","floral-breeze-1 - train/rel_error__MIN","floral-breeze-1 - train/rel_error__MAX"
"1231","100","100","100","0.08311040699481964","0.08311040699481964","0.08311040699481964","100","100","100","0.083299420773983","0.083299420773983","0.083299420773983","100","100","100","0.12260488420724869","0.12260488420724869","0.12260488420724869"
"1247","101","101","101","0.08286985009908676","0.08286985009908676","0.08286985009908676","101","101","101","0.08296647667884827","0.08296647667884827","0.08296647667884827","101","101","101","0.12225654721260071","0.12225654721260071","0.12225654721260071"
"1263","103","103","103","0.08251767605543137","0.08251767605543137","0.08251767605543137","103","103","103","0.08266070485115051","0.08266070485115051","0.08266070485115051","103","103","103","0.12163868546485901","0.12163868546485901","0.12163868546485901"
"1279","104","104","104","0.08233015239238739","0.08233015239238739","0.08233015239238739","104","104","104","0.08247887343168259","0.08247887343168259","0.08247887343168259","104","104","104","0.12116889655590057","0.12116889655590057","0.12116889655590057"
"1295","105","105","105","0.08200067281723022","0.08200067281723022","0.08200067281723022","105","105","105","0.08210397511720657","0.08210397511720657","0.08210397511720657","105","105","105","0.1206682100892067","0.1206682100892067","0.1206682100892067"
"1311","107","107","107","0.08170326799154282","0.08170326799154282","0.08170326799154282","107","107","107","0.08180056512355804","0.08180056512355804","0.08180056512355804","107","107","107","0.12037298083305359","0.12037298083305359","0.12037298083305359"
"1327","108","108","108","0.08142276853322983","0.08142276853322983","0.08142276853322983","108","108","108","0.08155729621648788","0.08155729621648788","0.08155729621648788","108","108","108","0.11985792964696884","0.11985792964696884","0.11985792964696884"
"1343","109","109","109","0.08105681836605072","0.08105681836605072","0.08105681836605072","109","109","109","0.08120450377464294","0.08120450377464294","0.08120450377464294","109","109","109","0.11928695440292358","0.11928695440292358","0.11928695440292358"
"1359","111","111","111","0.08089276403188705","0.08089276403188705","0.08089276403188705","111","111","111","0.08103489130735397","0.08103489130735397","0.08103489130735397","111","111","111","0.11894574761390686","0.11894574761390686","0.11894574761390686"
"1375","112","112","112","0.08060626685619354","0.08060626685619354","0.08060626685619354","112","112","112","0.08071985095739365","0.08071985095739365","0.08071985095739365","112","112","112","0.11843112111091614","0.11843112111091614","0.11843112111091614"
"1391","113","113","113","0.0804164856672287","0.0804164856672287","0.0804164856672287","113","113","113","0.08051247149705887","0.08051247149705887","0.08051247149705887","113","113","113","0.11802380532026291","0.11802380532026291","0.11802380532026291"
"1407","115","115","115","0.08006428182125092","0.08006428182125092","0.08006428182125092","115","115","115","0.08017770200967789","0.08017770200967789","0.08017770200967789","115","115","115","0.11754215508699417","0.11754215508699417","0.11754215508699417"
"1423","116","116","116","0.07982823252677917","0.07982823252677917","0.07982823252677917","116","116","116","0.0799713060259819","0.0799713060259819","0.0799713060259819","116","116","116","0.1173785999417305","0.1173785999417305","0.1173785999417305"
"1439","117","117","117","0.07959404587745667","0.07959404587745667","0.07959404587745667","117","117","117","0.07969880849123001","0.07969880849123001","0.07969880849123001","117","117","117","0.11680793762207031","0.11680793762207031","0.11680793762207031"
"1455","119","119","119","0.07931078970432281","0.07931078970432281","0.07931078970432281","119","119","119","0.07943836599588394","0.07943836599588394","0.07943836599588394","119","119","119","0.11650198698043823","0.11650198698043823","0.11650198698043823"
"1471","120","120","120","0.07909953594207764","0.07909953594207764","0.07909953594207764","120","120","120","0.07920616865158081","0.07920616865158081","0.07920616865158081","120","120","120","0.11628852039575577","0.11628852039575577","0.11628852039575577"
"1487","121","121","121","0.07882024347782135","0.07882024347782135","0.07882024347782135","121","121","121","0.07891945540904999","0.07891945540904999","0.07891945540904999","121","121","121","0.11571443825960159","0.11571443825960159","0.11571443825960159"
"1503","123","123","123","0.07866835594177246","0.07866835594177246","0.07866835594177246","123","123","123","0.07873930037021637","0.07873930037021637","0.07873930037021637","123","123","123","0.11531483381986618","0.11531483381986618","0.11531483381986618"
"1519","124","124","124","0.07838378101587296","0.07838378101587296","0.07838378101587296","124","124","124","0.07845820486545563","0.07845820486545563","0.07845820486545563","124","124","124","0.11495845019817352","0.11495845019817352","0.11495845019817352"
"1535","125","125","125","0.07819761335849762","0.07819761335849762","0.07819761335849762","125","125","125","0.07821773737668991","0.07821773737668991","0.07821773737668991","125","125","125","0.11452373117208481","0.11452373117208481","0.11452373117208481"
"1551","127","127","127","0.07787144929170609","0.07787144929170609","0.07787144929170609","127","127","127","0.07802484929561615","0.07802484929561615","0.07802484929561615","127","127","127","0.1143108606338501","0.1143108606338501","0.1143108606338501"
"1567","128","128","128","0.0776633769273758","0.0776633769273758","0.0776633769273758","128","128","128","0.07778096199035645","0.07778096199035645","0.07778096199035645","128","128","128","0.11374188214540482","0.11374188214540482","0.11374188214540482"
"1583","129","129","129","0.0772881731390953","0.0772881731390953","0.0772881731390953","129","129","129","0.07741015404462814","0.07741015404462814","0.07741015404462814","129","129","129","0.11363827437162399","0.11363827437162399","0.11363827437162399"
"1599","131","131","131","0.07716070860624313","0.07716070860624313","0.07716070860624313","131","131","131","0.07728166878223419","0.07728166878223419","0.07728166878223419","131","131","131","0.11323554068803787","0.11323554068803787","0.11323554068803787"
"1615","132","132","132","0.07709366828203201","0.07709366828203201","0.07709366828203201","132","132","132","0.07713651657104492","0.07713651657104492","0.07713651657104492","132","132","132","0.11287522315979004","0.11287522315979004","0.11287522315979004"
"1631","133","133","133","0.0768861398100853","0.0768861398100853","0.0768861398100853","133","133","133","0.07686637341976166","0.07686637341976166","0.07686637341976166","133","133","133","0.11265134066343307","0.11265134066343307","0.11265134066343307"
"1647","134","134","134","0.07676882296800613","0.07676882296800613","0.07676882296800613","134","134","134","0.07661253213882446","0.07661253213882446","0.07661253213882446","134","134","134","0.11215764284133911","0.11215764284133911","0.11215764284133911"
"1663","136","136","136","0.07638807594776154","0.07638807594776154","0.07638807594776154","136","136","136","0.07644481211900711","0.07644481211900711","0.07644481211900711","136","136","136","0.11186052113771439","0.11186052113771439","0.11186052113771439"
"1679","137","137","137","0.07605130225419998","0.07605130225419998","0.07605130225419998","137","137","137","0.07619189471006393","0.07619189471006393","0.07619189471006393","137","137","137","0.11164343357086182","0.11164343357086182","0.11164343357086182"
"1695","138","138","138","0.0757504403591156","0.0757504403591156","0.0757504403591156","138","138","138","0.07585557550191879","0.07585557550191879","0.07585557550191879","138","138","138","0.11131411790847778","0.11131411790847778","0.11131411790847778"
"1711","140","140","140","0.07564057409763336","0.07564057409763336","0.07564057409763336","140","140","140","0.0757128968834877","0.0757128968834877","0.0757128968834877","140","140","140","0.11090697348117828","0.11090697348117828","0.11090697348117828"
"1727","141","141","141","0.07536286860704422","0.07536286860704422","0.07536286860704422","141","141","141","0.07545757293701172","0.07545757293701172","0.07545757293701172","141","141","141","0.11061501502990723","0.11061501502990723","0.11061501502990723"
"1743","142","142","142","0.07516249269247055","0.07516249269247055","0.07516249269247055","142","142","142","0.07531712204217911","0.07531712204217911","0.07531712204217911","142","142","142","0.11032038927078247","0.11032038927078247","0.11032038927078247"
"1759","144","144","144","0.07498500496149063","0.07498500496149063","0.07498500496149063","144","144","144","0.07505210489034653","0.07505210489034653","0.07505210489034653","144","144","144","0.11005719006061554","0.11005719006061554","0.11005719006061554"
"1775","145","145","145","0.07470864802598953","0.07470864802598953","0.07470864802598953","145","145","145","0.07480665296316147","0.07480665296316147","0.07480665296316147","145","145","145","0.10974672436714172","0.10974672436714172","0.10974672436714172"
"1791","146","146","146","0.07460293918848038","0.07460293918848038","0.07460293918848038","146","146","146","0.07467129081487656","0.07467129081487656","0.07467129081487656","146","146","146","0.10939954221248627","0.10939954221248627","0.10939954221248627"
"1807","148","148","148","0.07450234144926071","0.07450234144926071","0.07450234144926071","148","148","148","0.0744817703962326","0.0744817703962326","0.0744817703962326","148","148","148","0.10905910283327103","0.10905910283327103","0.10905910283327103"
"1823","149","149","149","0.074319027364254","0.074319027364254","0.074319027364254","149","149","149","0.07433620095252991","0.07433620095252991","0.07433620095252991","149","149","149","0.10889334976673126","0.10889334976673126","0.10889334976673126"
"1839","150","150","150","0.0739273875951767","0.0739273875951767","0.0739273875951767","150","150","150","0.07399819046258926","0.07399819046258926","0.07399819046258926","150","150","150","0.10866047441959381","0.10866047441959381","0.10866047441959381"
"1855","152","152","152","0.07376598566770554","0.07376598566770554","0.07376598566770554","152","152","152","0.07385566830635071","0.07385566830635071","0.07385566830635071","152","152","152","0.10829728096723557","0.10829728096723557","0.10829728096723557"
"1871","153","153","153","0.07353632897138596","0.07353632897138596","0.07353632897138596","153","153","153","0.07360517978668213","0.07360517978668213","0.07360517978668213","153","153","153","0.10801701992750168","0.10801701992750168","0.10801701992750168"
"1887","154","154","154","0.07329888641834259","0.07329888641834259","0.07329888641834259","154","154","154","0.07334166765213013","0.07334166765213013","0.07334166765213013","154","154","154","0.10782026499509811","0.10782026499509811","0.10782026499509811"
"1903","156","156","156","0.07318682968616486","0.07318682968616486","0.07318682968616486","156","156","156","0.07326847314834595","0.07326847314834595","0.07326847314834595","156","156","156","0.10746989399194717","0.10746989399194717","0.10746989399194717"
"1919","157","157","157","0.07298191636800766","0.07298191636800766","0.07298191636800766","157","157","157","0.07311590760946274","0.07311590760946274","0.07311590760946274","157","157","157","0.10729055106639862","0.10729055106639862","0.10729055106639862"
"1935","158","158","158","0.07287166267633438","0.07287166267633438","0.07287166267633438","158","158","158","0.07293161004781723","0.07293161004781723","0.07293161004781723","158","158","158","0.10697617381811142","0.10697617381811142","0.10697617381811142"
"1951","160","160","160","0.07256249338388443","0.07256249338388443","0.07256249338388443","160","160","160","0.07264035940170288","0.07264035940170288","0.07264035940170288","160","160","160","0.10663095861673355","0.10663095861673355","0.10663095861673355"
"1967","161","161","161","0.07253126055002213","0.07253126055002213","0.07253126055002213","161","161","161","0.07244906574487686","0.07244906574487686","0.07244906574487686","161","161","161","0.10644222795963287","0.10644222795963287","0.10644222795963287"
"1983","162","162","162","0.07235845923423767","0.07235845923423767","0.07235845923423767","162","162","162","0.07233677804470062","0.07233677804470062","0.07233677804470062","162","162","162","0.10618524253368378","0.10618524253368378","0.10618524253368378"
"1999","164","164","164","0.0721513032913208","0.0721513032913208","0.0721513032913208","164","164","164","0.07216876745223999","0.07216876745223999","0.07216876745223999","164","164","164","0.10598333179950714","0.10598333179950714","0.10598333179950714"
"2015","165","165","165","0.07195918262004852","0.07195918262004852","0.07195918262004852","165","165","165","0.07187992334365845","0.07187992334365845","0.07187992334365845","165","165","165","0.10560747236013412","0.10560747236013412","0.10560747236013412"
"2031","166","166","166","0.07173044979572296","0.07173044979572296","0.07173044979572296","166","166","166","0.07168332487344742","0.07168332487344742","0.07168332487344742","166","166","166","0.10540635883808136","0.10540635883808136","0.10540635883808136"
"2047","167","167","167","0.07153020054101944","0.07153020054101944","0.07153020054101944","167","167","167","0.07154426723718643","0.07154426723718643","0.07154426723718643","167","167","167","0.10525424778461456","0.10525424778461456","0.10525424778461456"
"2063","169","169","169","0.07142870873212814","0.07142870873212814","0.07142870873212814","169","169","169","0.07135101407766342","0.07135101407766342","0.07135101407766342","169","169","169","0.10480997711420059","0.10480997711420059","0.10480997711420059"
